,episode length,episode score,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6
0,0,0.0,1,1,1,1,1,1
1,1119,252.0,38,32,46,37,42,31
2,1346,168.0,63,53,34,43,43,34
3,1336,378.0,65,44,47,41,43,36
4,802,189.0,26,24,35,34,27,23
5,1442,357.0,54,48,54,54,44,52
6,1264,252.0,31,41,44,46,48,55
7,1058,315.0,31,37,46,54,31,29
8,1152,189.0,40,36,46,42,35,34
9,1304,189.0,46,42,43,61,47,38
10,1026,210.0,35,41,35,40,30,33
11,936,378.0,26,30,30,39,32,30
12,1192,252.0,33,42,51,48,34,41
13,1027,252.0,37,39,36,40,30,32
14,1048,252.0,35,32,41,42,28,35
15,648,168.0,20,25,20,28,18,18
16,1519,294.0,44,44,57,74,61,37
17,514,105.0,19,17,9,15,15,21
18,1079,294.0,32,43,40,54,30,41
19,1217,378.0,32,38,45,60,38,35
20,1351,189.0,36,46,50,71,46,36
21,610,126.0,19,20,19,32,12,20
22,1536,252.0,53,54,57,70,46,44
23,1410,357.0,35,43,65,68,50,34
24,1680,231.0,47,59,68,82,47,54
25,1503,399.0,53,54,54,78,37,40
26,1604,462.0,50,38,63,80,59,60
27,1184,252.0,32,32,47,81,25,34
28,1112,189.0,31,36,45,49,30,35
29,744,189.0,24,24,34,28,16,21
30,1096,189.0,25,26,45,56,28,37
31,1346,378.0,38,35,56,67,44,47
32,1540,546.0,43,35,78,92,36,51
33,1072,231.0,29,31,40,57,37,25
34,512,168.0,13,10,19,23,14,15
35,1456,336.0,40,45,55,89,39,41
36,856,273.0,17,25,37,57,20,24
37,592,105.0,17,19,25,25,11,18
38,1378,294.0,39,37,57,81,38,46
39,735,168.0,22,16,27,44,24,15
40,578,126.0,14,19,22,27,14,18
41,546,168.0,15,10,31,24,18,13
42,1572,441.0,31,37,79,112,34,41
43,1079,231.0,23,24,47,68,35,16
44,1080,336.0,32,26,48,57,27,32
45,1639,378.0,38,53,61,108,42,39
46,1104,294.0,34,29,50,71,25,17
47,578,168.0,15,12,36,20,13,14
48,738,252.0,16,16,40,43,20,11
49,919,189.0,16,16,46,56,28,28
50,1058,315.0,33,26,50,59,27,30
51,880,210.0,26,26,42,43,20,23
52,449,210.0,7,9,25,24,8,13
53,1636,504.0,31,39,71,114,45,42
54,1346,378.0,36,36,43,102,40,39
55,1089,336.0,31,24,47,73,19,42
56,1026,399.0,23,35,45,81,14,21
57,1048,294.0,22,22,52,75,32,27
58,802,210.0,20,16,42,46,17,25
59,1667,588.0,44,41,77,121,44,33
60,962,336.0,26,18,43,66,26,24
61,840,231.0,22,15,36,61,21,19
62,1569,357.0,31,42,63,122,40,35
63,1506,399.0,44,33,67,114,35,36
64,1860,504.0,35,47,83,160,38,44
65,1058,378.0,18,26,48,82,22,25
66,1424,462.0,31,33,63,110,38,30
67,1412,483.0,32,27,81,101,31,30
68,1377,399.0,32,31,72,103,36,34
69,1732,462.0,33,40,86,160,29,36
70,1424,462.0,32,21,71,125,34,32
71,1272,399.0,23,20,66,115,31,24
72,927,315.0,14,18,49,67,19,27
73,866,189.0,19,16,42,69,18,21
74,1440,315.0,24,34,66,127,36,22
75,1218,378.0,26,31,58,109,25,17
76,1282,399.0,32,31,60,104,29,26
77,2374,682.0,48,51,112,228,40,51
78,1412,420.0,24,26,65,134,27,30
79,1122,315.0,26,25,58,86,17,24
80,1476,441.0,29,24,81,138,23,31
81,1219,546.0,24,17,70,113,19,20
82,944,189.0,12,18,41,86,22,23
83,770,252.0,15,16,35,70,6,15
84,1539,462.0,34,24,71,158,34,26
85,1057,315.0,20,22,52,97,22,21
86,2050,399.0,47,36,82,221,38,39
87,1090,399.0,22,21,56,100,27,15
88,1764,441.0,28,36,86,190,37,33
89,1860,483.0,38,37,92,194,23,30
90,674,126.0,16,6,36,63,7,14
91,1862,651.0,19,22,118,204,37,24
92,1537,399.0,23,26,80,172,24,18
93,610,210.0,8,10,34,59,9,8
94,1220,420.0,22,25,70,113,22,23
95,1636,420.0,29,27,73,170,28,28
96,834,189.0,14,8,48,84,10,15
97,1860,462.0,34,28,91,200,36,30
98,1956,640.0,24,27,104,222,26,39
99,1667,609.0,30,22,92,193,22,24
100,2031,651.0,28,27,118,222,40,30
101,2154,651.0,24,27,109,272,35,22
102,1220,588.0,19,14,71,133,23,13
103,1186,357.0,12,15,60,151,13,20
104,1156,420.0,18,18,63,126,12,17
105,1741,672.0,22,19,100,200,26,20
106,1456,630.0,19,19,84,166,18,24
107,1732,713.0,29,23,89,211,24,25
108,1965,630.0,29,26,112,237,18,25
109,1902,651.0,21,27,107,234,32,20
110,1680,525.0,17,22,94,210,20,23
111,2085,713.0,20,25,115,275,25,21
112,1881,651.0,32,19,117,232,16,19
113,2086,651.0,36,25,109,260,36,20
114,1431,672.0,14,14,85,180,17,20
115,2084,640.0,17,23,111,292,19,23
116,1784,651.0,22,28,110,213,20,16
117,2232,703.0,19,25,131,292,24,26
118,1058,357.0,6,11,59,141,13,10
119,1250,399.0,8,16,79,164,10,14
120,1411,525.0,11,11,79,193,7,16
121,1316,462.0,14,13,75,178,9,9
122,1572,651.0,13,16,86,215,14,17
123,1772,703.0,11,20,116,229,21,15
124,1730,714.0,20,11,95,240,22,15
125,1626,672.0,14,12,104,216,14,18
126,2264,609.0,23,20,146,317,17,15
127,1796,661.0,13,11,105,254,14,24
128,1411,525.0,9,6,79,216,10,14
129,1470,630.0,11,10,97,214,9,11
130,1554,630.0,11,7,105,221,10,12
131,1560,609.0,11,9,95,224,10,8
132,1875,672.0,12,15,135,256,12,5
133,1827,546.0,7,10,112,284,8,10
134,1734,651.0,3,9,119,261,9,5
135,1497,651.0,8,5,108,219,11,4
136,1859,745.0,9,10,136,279,7,6
137,1580,735.0,8,9,112,232,7,7
138,1649,630.0,5,5,116,246,10,6
139,1462,672.0,5,7,104,222,6,1
140,1860,651.0,12,1,147,271,8,6
141,2330,661.0,8,4,157,385,4,8
142,1155,462.0,4,8,86,162,6,4
143,1587,693.0,11,6,110,239,4,4
144,1674,693.0,2,4,114,273,5,4
145,1895,756.0,3,5,120,319,4,7
146,1552,630.0,0,1,118,241,4,3
