C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 5.03GB
  warnings.warn(
global_step=267, episodic_return=252.0
global_step=587, episodic_return=168.0
global_step=903, episodic_return=378.0
global_step=1092, episodic_return=189.0
global_step=1441, episodic_return=357.0
global_step=1743, episodic_return=252.0
global_step=1994, episodic_return=315.0
global_step=2269, episodic_return=189.0
global_step=2584, episodic_return=189.0
global_step=2828, episodic_return=210.0
global_step=3044, episodic_return=378.0
global_step=3324, episodic_return=252.0
global_step=3567, episodic_return=252.0
global_step=3813, episodic_return=252.0
global_step=3964, episodic_return=168.0
global_step=4327, episodic_return=294.0
global_step=4437, episodic_return=105.0
global_step=4695, episodic_return=294.0
global_step=4984, episodic_return=378.0
global_step=5307, episodic_return=189.0
global_step=5448, episodic_return=126.0
global_step=5814, episodic_return=252.0
global_step=6155, episodic_return=357.0
global_step=6563, episodic_return=231.0
global_step=6921, episodic_return=399.0
global_step=7311, episodic_return=462.0
global_step=7596, episodic_return=252.0
global_step=7860, episodic_return=189.0
global_step=8028, episodic_return=189.0
global_step=8284, episodic_return=189.0
global_step=8604, episodic_return=378.0
global_step=8976, episodic_return=546.0
global_step=9227, episodic_return=231.0
global_step=9338, episodic_return=168.0
global_step=9688, episodic_return=336.0
global_step=9890, episodic_return=273.0
global_step=10022, episodic_return=105.0
global_step=10350, episodic_return=294.0
global_step=10522, episodic_return=168.0
global_step=10655, episodic_return=126.0
global_step=10778, episodic_return=168.0
global_step=11155, episodic_return=441.0
global_step=11407, episodic_return=231.0
global_step=11659, episodic_return=336.0
global_step=12054, episodic_return=378.0
global_step=12314, episodic_return=294.0
global_step=12443, episodic_return=168.0
global_step=12617, episodic_return=252.0
global_step=12830, episodic_return=189.0
global_step=13084, episodic_return=315.0
global_step=13287, episodic_return=210.0
global_step=13384, episodic_return=210.0
global_step=13780, episodic_return=504.0
global_step=14103, episodic_return=378.0
global_step=14364, episodic_return=336.0
global_step=14607, episodic_return=399.0
global_step=14854, episodic_return=294.0
global_step=15041, episodic_return=210.0
global_step=15440, episodic_return=588.0
global_step=15667, episodic_return=336.0
global_step=15863, episodic_return=231.0
global_step=16239, episodic_return=357.0
global_step=16599, episodic_return=399.0
global_step=17049, episodic_return=504.0
global_step=17300, episodic_return=378.0
global_step=17642, episodic_return=462.0
global_step=17977, episodic_return=483.0
global_step=18310, episodic_return=399.0
global_step=18729, episodic_return=462.0
global_step=19067, episodic_return=462.0
global_step=19370, episodic_return=399.0
global_step=19584, episodic_return=315.0
global_step=19783, episodic_return=189.0
global_step=20126, episodic_return=315.0
global_step=20420, episodic_return=378.0
global_step=20724, episodic_return=399.0
global_step=21303, episodic_return=682.0
global_step=21644, episodic_return=420.0
global_step=21907, episodic_return=315.0
global_step=22259, episodic_return=441.0
global_step=22547, episodic_return=546.0
global_step=22767, episodic_return=189.0
global_step=22947, episodic_return=252.0
global_step=23319, episodic_return=462.0
global_step=23568, episodic_return=315.0
global_step=24070, episodic_return=399.0
global_step=24325, episodic_return=399.0
global_step=24748, episodic_return=441.0
global_step=25197, episodic_return=483.0
global_step=25355, episodic_return=126.0
global_step=25805, episodic_return=651.0
global_step=26175, episodic_return=399.0
global_step=26310, episodic_return=210.0
global_step=26604, episodic_return=420.0
global_step=27000, episodic_return=420.0
global_step=27192, episodic_return=189.0
global_step=27643, episodic_return=462.0
global_step=28115, episodic_return=640.0
global_step=28521, episodic_return=609.0
global_step=29016, episodic_return=651.0
global_step=29537, episodic_return=651.0
global_step=29826, episodic_return=588.0
global_step=30111, episodic_return=357.0
global_step=30386, episodic_return=420.0
global_step=30806, episodic_return=672.0
global_step=31152, episodic_return=630.0
global_step=31571, episodic_return=713.0
global_step=32046, episodic_return=630.0
global_step=32510, episodic_return=651.0
global_step=32917, episodic_return=525.0
global_step=33422, episodic_return=713.0
global_step=33874, episodic_return=651.0
global_step=34377, episodic_return=651.0
global_step=34723, episodic_return=672.0
global_step=35229, episodic_return=640.0
global_step=35658, episodic_return=651.0
global_step=36199, episodic_return=703.0
global_step=36447, episodic_return=357.0
global_step=36743, episodic_return=399.0
global_step=37084, episodic_return=525.0
global_step=37397, episodic_return=462.0
global_step=37775, episodic_return=651.0
global_step=38202, episodic_return=703.0
global_step=38621, episodic_return=714.0
global_step=39011, episodic_return=672.0
global_step=39564, episodic_return=609.0
global_step=39999, episodic_return=661.0
global_step=40341, episodic_return=525.0
global_step=40697, episodic_return=630.0
global_step=41070, episodic_return=630.0
global_step=41442, episodic_return=609.0
global_step=41894, episodic_return=672.0
global_step=42338, episodic_return=546.0
global_step=42758, episodic_return=651.0
global_step=43117, episodic_return=651.0
global_step=43570, episodic_return=745.0
global_step=43951, episodic_return=735.0
global_step=44346, episodic_return=630.0
global_step=44697, episodic_return=672.0
global_step=45147, episodic_return=651.0
global_step=45716, episodic_return=661.0
global_step=45989, episodic_return=462.0
global_step=46368, episodic_return=693.0
global_step=46776, episodic_return=693.0
global_step=47237, episodic_return=756.0
global_step=47608, episodic_return=630.0
global_step=48136, episodic_return=693.0
global_step=48628, episodic_return=630.0
global_step=49086, episodic_return=672.0
global_step=49510, episodic_return=672.0
global_step=49851, episodic_return=672.0
global_step=50263, episodic_return=672.0
global_step=50573, episodic_return=546.0
global_step=50999, episodic_return=672.0
global_step=51462, episodic_return=714.0
global_step=51847, episodic_return=672.0
global_step=52090, episodic_return=525.0
global_step=52388, episodic_return=630.0
global_step=52774, episodic_return=693.0
global_step=53172, episodic_return=693.0
global_step=53600, episodic_return=651.0
global_step=54043, episodic_return=714.0
global_step=54445, episodic_return=525.0
global_step=54867, episodic_return=672.0
global_step=55311, episodic_return=672.0
global_step=55582, episodic_return=525.0
global_step=56023, episodic_return=672.0
global_step=56478, episodic_return=672.0
global_step=56748, episodic_return=630.0
global_step=57110, episodic_return=630.0
global_step=57434, episodic_return=609.0
global_step=57848, episodic_return=672.0
global_step=58124, episodic_return=651.0
global_step=58496, episodic_return=693.0
global_step=58795, episodic_return=672.0
global_step=59182, episodic_return=651.0
global_step=59534, episodic_return=651.0
global_step=60003, episodic_return=672.0
global_step=60360, episodic_return=777.0
global_step=60729, episodic_return=651.0
global_step=61036, episodic_return=567.0
global_step=61420, episodic_return=630.0
global_step=61832, episodic_return=672.0
global_step=62212, episodic_return=798.0
global_step=62526, episodic_return=462.0
global_step=62993, episodic_return=714.0
global_step=63372, episodic_return=714.0
global_step=63722, episodic_return=714.0
global_step=64104, episodic_return=693.0
global_step=64471, episodic_return=651.0
global_step=64806, episodic_return=651.0
global_step=65162, episodic_return=651.0
global_step=65491, episodic_return=546.0
global_step=65868, episodic_return=693.0
global_step=66165, episodic_return=609.0
global_step=66474, episodic_return=630.0
global_step=66856, episodic_return=693.0
global_step=67320, episodic_return=756.0
global_step=67657, episodic_return=693.0
global_step=67995, episodic_return=672.0
global_step=68343, episodic_return=672.0
global_step=68682, episodic_return=672.0
global_step=69076, episodic_return=672.0
global_step=69498, episodic_return=693.0
global_step=69888, episodic_return=672.0
global_step=70180, episodic_return=609.0
global_step=70538, episodic_return=714.0
global_step=70893, episodic_return=630.0
global_step=71271, episodic_return=672.0
global_step=71652, episodic_return=672.0
global_step=72027, episodic_return=672.0
global_step=72412, episodic_return=735.0
global_step=72760, episodic_return=651.0
global_step=73136, episodic_return=672.0
global_step=73502, episodic_return=735.0
global_step=73862, episodic_return=693.0
global_step=74230, episodic_return=651.0
global_step=74589, episodic_return=714.0
global_step=74783, episodic_return=336.0
global_step=75126, episodic_return=672.0
global_step=75489, episodic_return=630.0
global_step=75879, episodic_return=651.0
global_step=76238, episodic_return=693.0
global_step=76602, episodic_return=735.0
global_step=77141, episodic_return=693.0
global_step=77328, episodic_return=483.0
global_step=77795, episodic_return=777.0
global_step=78137, episodic_return=672.0
global_step=78553, episodic_return=714.0
global_step=78842, episodic_return=567.0
global_step=79209, episodic_return=798.0
global_step=79560, episodic_return=714.0
global_step=79900, episodic_return=525.0
SPS: 323
global_step=80122, episodic_return=420.0
SPS: 322
global_step=80257, episodic_return=357.0
SPS: 321
SPS: 320
SPS: 319
SPS: 318
global_step=80627, episodic_return=147.0
SPS: 317
SPS: 315
SPS: 314
global_step=80948, episodic_return=189.0
SPS: 313
SPS: 312
SPS: 311
SPS: 310
SPS: 309
SPS: 308
SPS: 307
SPS: 306
global_step=81720, episodic_return=294.0
SPS: 305
SPS: 304
SPS: 303
global_step=82100, episodic_return=378.0
SPS: 302
SPS: 301
SPS: 300
SPS: 299
global_step=82433, episodic_return=504.0
SPS: 298
SPS: 297
global_step=82652, episodic_return=357.0
SPS: 296
global_step=82783, episodic_return=168.0
SPS: 295
global_step=82887, episodic_return=189.0
SPS: 294
SPS: 293
SPS: 292
global_step=83102, episodic_return=357.0
global_step=83193, episodic_return=189.0
SPS: 291
SPS: 290
global_step=83317, episodic_return=357.0
SPS: 289
global_step=83433, episodic_return=294.0
SPS: 288
global_step=83592, episodic_return=504.0
SPS: 287
SPS: 286
global_step=83767, episodic_return=441.0
SPS: 285
global_step=83865, episodic_return=378.0
SPS: 284
SPS: 284
global_step=84037, episodic_return=546.0
SPS: 283
global_step=84172, episodic_return=420.0
SPS: 282
SPS: 281
global_step=84391, episodic_return=462.0
SPS: 280
SPS: 279
global_step=84507, episodic_return=294.0
SPS: 278
global_step=84666, episodic_return=399.0
SPS: 277
global_step=84722, episodic_return=189.0
SPS: 276
global_step=84850, episodic_return=252.0
SPS: 276
SPS: 275
global_step=85009, episodic_return=357.0
SPS: 274
global_step=85144, episodic_return=315.0
SPS: 273
global_step=85300, episodic_return=420.0
SPS: 272
SPS: 271
global_step=85439, episodic_return=252.0
SPS: 271
SPS: 270
global_step=85603, episodic_return=441.0
global_step=85699, episodic_return=231.0
SPS: 269
SPS: 268
global_step=85854, episodic_return=399.0
SPS: 267
global_step=85909, episodic_return=189.0
SPS: 267
global_step=86032, episodic_return=357.0
SPS: 266
global_step=86199, episodic_return=462.0
SPS: 265
SPS: 264
global_step=86383, episodic_return=420.0
SPS: 263
SPS: 263
global_step=86558, episodic_return=399.0
SPS: 262
SPS: 261
global_step=86722, episodic_return=504.0
SPS: 260
global_step=86823, episodic_return=273.0
SPS: 259
global_step=86950, episodic_return=336.0
SPS: 259
global_step=87034, episodic_return=168.0
SPS: 258
global_step=87178, episodic_return=357.0
SPS: 257
SPS: 257
global_step=87337, episodic_return=441.0
SPS: 256
SPS: 255
global_step=87501, episodic_return=420.0
global_step=87588, episodic_return=189.0
SPS: 254
global_step=87668, episodic_return=189.0
SPS: 254
SPS: 253
