C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 4.49GB
  warnings.warn(
global_step=183, episodic_return=-31700.0
global_step=362, episodic_return=-50000.0
global_step=540, episodic_return=-13100.0
global_step=724, episodic_return=-30100.0
global_step=909, episodic_return=-29000.0
global_step=1091, episodic_return=-42000.0
global_step=1273, episodic_return=-22300.0
global_step=1456, episodic_return=-24600.0
global_step=1641, episodic_return=-23500.0
global_step=1824, episodic_return=-16500.0
global_step=2002, episodic_return=-14800.0
global_step=2180, episodic_return=-5700.0
global_step=2362, episodic_return=-16900.0
global_step=2542, episodic_return=-33300.0
global_step=2727, episodic_return=-27200.0
global_step=2906, episodic_return=-23200.0
global_step=3084, episodic_return=-15800.0
global_step=3268, episodic_return=-5400.0
global_step=3448, episodic_return=-22300.0
global_step=3629, episodic_return=-10500.0
global_step=3813, episodic_return=-18000.0
global_step=3991, episodic_return=-27300.0
global_step=4176, episodic_return=-29800.0
global_step=4359, episodic_return=-8400.0
global_step=4537, episodic_return=-28900.0
global_step=4721, episodic_return=-16900.0
global_step=4906, episodic_return=-13900.0
global_step=5087, episodic_return=-16300.0
global_step=5265, episodic_return=-8700.0
global_step=5443, episodic_return=-20300.0
global_step=5622, episodic_return=-9800.0
global_step=5805, episodic_return=-25400.0
global_step=5984, episodic_return=-13100.0
global_step=6163, episodic_return=-20600.0
global_step=6345, episodic_return=-10700.0
global_step=6529, episodic_return=-22200.0
global_step=6709, episodic_return=-22500.0
global_step=6888, episodic_return=-27600.0
global_step=7072, episodic_return=-32000.0
global_step=7257, episodic_return=-22000.0
global_step=7439, episodic_return=-8100.0
global_step=7618, episodic_return=-18600.0
global_step=7796, episodic_return=-10500.0
global_step=7974, episodic_return=-21400.0
global_step=8155, episodic_return=-12800.0
global_step=8335, episodic_return=-18800.0
global_step=8515, episodic_return=-17700.0
global_step=8700, episodic_return=-8400.0
global_step=8879, episodic_return=-15500.0
global_step=9064, episodic_return=-23000.0
global_step=9243, episodic_return=-22600.0
global_step=9423, episodic_return=-15600.0
global_step=9606, episodic_return=-10500.0
global_step=9788, episodic_return=-10900.0
global_step=9972, episodic_return=-19600.0
global_step=10154, episodic_return=-11400.0
global_step=10334, episodic_return=-17700.0
global_step=10516, episodic_return=8400.0
global_step=10694, episodic_return=-18000.0
global_step=10877, episodic_return=-19200.0
global_step=11059, episodic_return=-10500.0
global_step=11238, episodic_return=-12300.0
global_step=11418, episodic_return=-21200.0
global_step=11599, episodic_return=-19300.0
global_step=11782, episodic_return=-25200.0
global_step=11964, episodic_return=-21300.0
global_step=12142, episodic_return=-14700.0
global_step=12326, episodic_return=-6600.0
global_step=12508, episodic_return=-25700.0
global_step=12686, episodic_return=-16300.0
global_step=12867, episodic_return=-16700.0
global_step=13045, episodic_return=-22000.0
global_step=13223, episodic_return=9900.0
global_step=13401, episodic_return=-15500.0
global_step=13586, episodic_return=-20500.0
global_step=13766, episodic_return=-25100.0
global_step=13947, episodic_return=-31500.0
global_step=14131, episodic_return=-14300.0
global_step=14309, episodic_return=-16900.0
global_step=14488, episodic_return=-20600.0
global_step=14667, episodic_return=-35500.0
global_step=14846, episodic_return=-22900.0
global_step=15029, episodic_return=-10800.0
global_step=15212, episodic_return=-24500.0
global_step=15393, episodic_return=9600.0
global_step=15578, episodic_return=-10800.0
global_step=15757, episodic_return=-28600.0
global_step=15935, episodic_return=-20300.0
global_step=16115, episodic_return=-15700.0
global_step=16300, episodic_return=-19400.0
global_step=16480, episodic_return=-12600.0
global_step=16661, episodic_return=-16000.0
global_step=16839, episodic_return=-36100.0
global_step=17024, episodic_return=-9700.0
global_step=17206, episodic_return=2000.0
global_step=17385, episodic_return=-25700.0
global_step=17567, episodic_return=-11300.0
global_step=17746, episodic_return=-23600.0
global_step=17931, episodic_return=-30000.0
global_step=18114, episodic_return=-11200.0
global_step=18292, episodic_return=-11400.0
global_step=18472, episodic_return=-20000.0
global_step=18656, episodic_return=-18900.0
global_step=18838, episodic_return=-20500.0
global_step=19018, episodic_return=-9800.0
global_step=19196, episodic_return=-13400.0
global_step=19378, episodic_return=-17600.0
global_step=19557, episodic_return=-23100.0
global_step=19742, episodic_return=-17400.0
global_step=19925, episodic_return=-25400.0
global_step=20105, episodic_return=-22300.0
global_step=20283, episodic_return=9600.0
global_step=20461, episodic_return=-25700.0
global_step=20645, episodic_return=-12500.0
global_step=20825, episodic_return=-25400.0
global_step=21004, episodic_return=-29000.0
global_step=21183, episodic_return=-15900.0
global_step=21363, episodic_return=-16200.0
global_step=21542, episodic_return=-12100.0
global_step=21726, episodic_return=-6300.0
global_step=21906, episodic_return=-16200.0
global_step=22087, episodic_return=-23800.0
global_step=22267, episodic_return=-11500.0
global_step=22449, episodic_return=-12200.0
global_step=22628, episodic_return=9300.0
